Rank,Domain,Banning Authority,Locale,Type of site,Subcategory,Date blocked
604956,russkiykorabl.net,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,5/27/22
615522,multik-online.net,Office of the Prosecutor General,Unknown,Digital Resistance,Ukraine Support Content,3/21/22
622327,rasteniya-tatarstan.ru,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/27/22
625577,green-logistics.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
629793,amphibex400.ru,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
636338,anti-propaganda.live,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,3/27/22
641668,defenseua.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,2/4/22
642619,war2022.online,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/27/22
643844,anti-propaganda.info,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,3/12/22
644714,ufolabs.net,Office of the Prosecutor General,Russia,Digital Resistance,Critical content,4/19/22
646231,ria-world.live,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/3/22
646881,antipropaganda.space,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,3/10/22
648187,stopwar2022.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/8/22
652271,interfax.live,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,8/6/22
652550,publicorthodoxy.org,Office of the Prosecutor General,United States,Digital Resistance,Critical Content,5/31/22
652648,help-ukraine-win.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Hacking,3/17/22
656511,cbr.ink,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,12/5/22
660713,imhoclub.by,Office of the Prosecutor General,Latvia,Digital Resistance,Critical Content,3/22/22
662544,rebagroup.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,5/27/22
667737,voiny.net,Office of the Prosecutor General,Russia,Digital Resistance,Appeals,5/15/22
670096,spilka.pt,Office of the Prosecutor General,Portugal,Digital Resistance,Ukraine Support Content,7/27/22
678895,ravesli.com,Office of the Prosecutor General,Russia,Digital Resistance,Ukraine Support Content,3/27/22
684201,science-community.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Critical Content,4/23/22
688993,pravdamail.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Appeals,5/6/22
700368,jourbon.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,4/20/22
711955,eurosvet-samara.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,2/4/22
717424,24tr.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/13/22
731975,true-ip.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
737562,vo365.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
739313,chronicles.report,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,7/24/22
741237,supportukrainenow.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,4/20/22
742107,waltzingwaters.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,5/20/22
757531,lifeline34.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
759333,dubaimoscow.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,5/19/22
763140,kompressor-asprom.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,5/20/22
765479,ninjasushi.moscow,Office of the Prosecutor General,Ukraine,Digital Resistance,Critical Content,4/15/22
766415,kantanen.net,Office of the Prosecutor General,Finland,Digital Resistance,Critical Content,3/20/22
768277,for.lviv.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Critical Content,8/2/22
774842,stop-the-war.world,Office of the Prosecutor General,Germany,Digital Resistance,Counter-propaganda,7/4/22
775216,uralsip.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,5/20/22
777215,butovo-salon.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,5/19/22
783803,cs-grom.ru,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,1/7/22
785585,truthinrf.org.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,2/4/22
786709,my2012.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,5/20/22
788973,svetlymir.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
792440,ria-news.live,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/2/22
793992,stopwar.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/2/22
796602,oporainfo.live,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/9/22
797334,doverieinfo.site,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/9/22
799013,paulin.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
799617,b2btoday.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/18/22
804191,harkovua.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/31/22
805600,russawarukraine.online,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,3/8/22
805818,efficientplant.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,5/20/22
805912,protestletter.cc,Office of the Prosecutor General,Russia,Digital Resistance,Russian Dissidents,6/16/22
808499,strahoka.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
808879,badma.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
812647,caspianhalal.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
818053,apitb13.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/9/22
820872,speedcubing.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,5/25/22
822552,gdemoysyn.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/7/22
823324,swimmingnso.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
825829,stopthewar-peace.com,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,5/27/22
841498,rubhoz.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,5/30/22
844667,collectionru.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,7/27/22
847639,obvalrublya.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/4/22
855705,invaders-rf.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,4/27/22
858055,fort-odessa.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
858585,lkbtl.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,5/20/22
863763,bhf.la,Office of the Prosecutor General,Russia,Digital Resistance,Ukraine Support Content,4/18/22
887800,zastansyadoma.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/4/22
922920,dpath.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,5/20/22
945946,md-arena.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,4/13/22
952419,tajikistantravel.ru,Office of the Prosecutor General,Unknown,Digital Resistance,Ukraine Support Content,3/27/22
964287,laser-lab.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
975110,mamochkayahochudomoy.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/10/22
986279,tagilwood.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
1005375,papapover.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Appeals,3/9/22
1006472,hram-aleksiy.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
1025607,gradsky.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Blog,3/25/22
1070040,pravda-voiny.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/9/22
1118704,hr-bo.ru,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,4/22/22
1135408,ieshua.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,7/7/22
1216161,cafe-tandyr.ru,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,2/4/22
1226260,jinn-tabac.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/4/22
1231440,beriedu.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
1233531,dengiplatezhi.com,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,4/15/22
1297573,affiliateconf.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
1301974,opinion-ru.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/15/22
1314655,zodiak-nk.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,2/4/22
1319422,legotown.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
1421588,charivnitsya.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
1488482,t-invariant.org,Office of the Prosecutor General,Russia,Digital Resistance,Critical Content,4/26/22
1603767,patriotmoto.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
1645709,russianslook.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/9/22
1663298,truerussia.org,Office of the Prosecutor General,Russia,Digital Resistance,Russian Dissidents,5/24/22
1729585,navs.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
1737425,corehosting.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
1936874,consul24.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,5/19/22
2495495,okrussians.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Research,4/19/22
2798548,gastrotravel.club,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,5/6/22
3194477,freerussiainstitute.org,Office of the Prosecutor General,Latvia,Digital Resistance,Russian Dissidents,7/24/22
4360785,helpukrainewin.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,4/4/22
4447739,idel-ural.org,Office of the Prosecutor General,Unknown,Digital Resistance,Activism,3/6/22
5578550,arsmagica.org,Office of the Prosecutor General,Russia,Digital Resistance,Critical Content,4/25/22
-1,create.vista.com,Office of the Prosecutor General,Cyprus,Digital Resistance,Ukraine Support Content,7/6/22
-1,sinoptik.com.ru,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,4/24/22
-1,sovet.kidstaff.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Critical Content,6/27/22
-1,lady.tochka.net,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/13/22
-1,ru.wix.com,Office of the Prosecutor General,Israel,Digital Resistance,Ukraine Support Content,5/25/22
-1,ru.viptalisman.com,Office of the Prosecutor General,Russia,Digital Resistance,Critical Content,3/25/22
-1,uk.telegram-politics.com,Office of the Prosecutor General,United States,Digital Resistance,Critical Content,7/27/22
-1,gruz200.zzz.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,6/24/22
-1,ru.traveltables.com,Office of the Prosecutor General,United Kingdom,Digital Resistance,Ukraine Support Content,5/15/22
-1,mail.proton.me,Office of the Prosecutor General,Switzerland,Digital Resistance,Anti-censorship tools,7/28/22
-1,zpua.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/27/22
-1,forum.voynaplemyon.com,Office of the Prosecutor General,Germany,Digital Resistance,Ukraine Support Content,5/16/22
-1,ipo-ipp.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/24/22
-1,how-to-help-ukraine-now.super.site,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,4/30/22
-1,lenskiy.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Critical Content,3/27/22
-1,callrussia.org,Office of the Prosecutor General,Lithuania,Digital Resistance,Appeals,4/20/22
-1,vashprivatbank.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,ukrainewar.carrd.co,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,4/20/22
-1,uk.telegram-store.com,Office of the Prosecutor General,United States,Digital Resistance,Critical Content,7/27/22
-1,i.lekciya.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,5/27/22
-1,mail.1920.in,Office of the Prosecutor General,Unknown,Digital Resistance,Appeals,10/6/22
-1,mail2ru.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Appeals,5/13/22
-1,putinavotstavku.org,Office of the Prosecutor General,Russia,Digital Resistance,Appeals,3/27/22
-1,lustrator.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/27/22
-1,uahelp.monobank.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,3/11/22
-1,lavkazhivosvet.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,vipzal.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,colorservise.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
-1,h.lekciya.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,greenky-man.itch.io,Office of the Prosecutor General,Unknown,Digital Resistance,Critical content,3/27/22
-1,partisan.super.site,Office of the Prosecutor General,Russia,Digital Resistance,Activism,4/27/22
-1,20220412073119.d41d8c.site,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,4/17/22
-1,20220412132208.d41d8c.site,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,4/17/22
-1,artcoffeeuu.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
-1,cssam.ru,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,2/4/22
-1,drou.org,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,3/8/22
-1,nowar1.org,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,7/4/22
-1,nowar2.org,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,3/31/22
-1,nurnberg2022.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/2/22
-1,powukraine.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/3/22
-1,russia-attacked-ukraine.hostiq.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/10/22
-1,russians.gruz200.hospital,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,4/27/22
-1,russkiyship.info,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,3/10/22
-1,wakeuprussia.onrender.com,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,3/27/22
-1,gofundme.com/f/navalny-team,Office of the Prosecutor General,United States,Digital Resistance,Fundraising,4/29/22
-1,ukrarmy.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Fundraising,3/21/22
-1,saverussia.org,Office of the Prosecutor General,Russia,Digital Resistance,Russian Dissidents,3/2/22
-1,vinovaty.org,Office of the Prosecutor General,Unknown,Digital Resistance,Russian Dissidents,3/10/22
-1,autodaily.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
-1,cafe.join-tech.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,2/4/22
-1,fedorovskoesp.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,4/19/22
-1,gentooblog.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,geo.ocvita.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,happywalkshoes.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
-1,icon.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,innachemk.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,ivankiv.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,klasik.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,lampa.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,laymonbur.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
-1,leverup.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
-1,linuxmoto.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,4/20/22
-1,mifion.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,misterblister.kiev.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,oldtanks-source.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,ovpoetov.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
-1,polombardam.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
-1,poltavaopt.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
-1,pomnim.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
-1,processing.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
-1,tkbutovo.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
-1,tomsha.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
-1,torumural.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
-1,vinogradovfest.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,4/20/22
-1,vis-snab.ru,Office of the Prosecutor General,Russia,Digital Resistance,Site Hijack,3/27/22
-1,support-ukraine-now.webflow.io,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,4/4/22
-1,deny.joinposter.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,5/31/22
-1,klientiks.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,5/27/22
-1,mediapartisans.org,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,5/29/22
-1,podcasts.6262.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,5/30/22
-1,russian.invasion.cz,Office of the Prosecutor General,Czechia,Digital Resistance,Counter-propaganda,5/27/22
-1,russkiykorabl.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/27/22
-1,warlive.me,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/30/22
-1,fedrezerv-cbr.org,Office of the Prosecutor General,Russia,Digital Resistance,Counter-propaganda,6/15/22
-1,developers.amocrm.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,lp.nebho.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,deshevshe.promocode.kiev.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,forest.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,forvk.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,biodar.kiev.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,bezhanov.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,buy.all4css.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,dnevnik.teleschool.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,luna.colorservice.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,novotell.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,5-11.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,accumauto.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,akwk.lwokemvu.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,allforshrimp.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,b3.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,blog.beganov.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,bmw-group.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,brandshop.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,clouddistro.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,forkliftservice24.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,fotoservis.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,fsb.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,gersaqsfl.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,grantbeton.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,hphprpwqaq.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,innok.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,live-blogger.fash-mark.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,lobodinov.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,narodtextile.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,novatic.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,openly.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,orwakukraine.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,out.vev.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,pak.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,parfum1.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,parniki.salepro.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,planetacomp.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,postman.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
-1,qyan.wubfuho.pp.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,woomboom.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
-1,freeburyatia.org,Office of the Prosecutor General,United States,Digital Resistance,Russian Dissidents,7/13/22
